ProductID,ProductName,total_revenue
38,"Cte de Blaye",150215
29,"Thringer Rostbratwurst",87854
59,"Raclette Courdavault",76296
60,"Camembert Pierrot",50188
62,"Tarte au sucre",49467
56,"Gnocchi di nonna Alice",44970
51,"Manjimup Dried Apples",44659
17,"Alice Mutton",35414
18,"Carnarvon Tigers",32189
28,"Rssle Sauerkraut",26920
72,"Mozzarella di Giovanni",25900
43,"Ipoh Coffee",25114
69,Gudbrandsdalsost,24346
20,"Sir Rodney's Marmalade",23657
64,"Wimmers gute Semmelkndel",22980
7,"Uncle Bob's Organic Dried Pears",22464
10,Ikura,22168
53,"Perth Pasties",21523
26,"Gumbr Gummibrchen",21465
71,Flotemysost,21104
55,"Pt chinois",19422
40,"Boston Crab Meat",18843
2,Chang,18479
16,Pavlova,18453
63,Vegie-spread,17699
61,"Sirop d'rable",16701
76,Lakkalikri,16698
31,"Gorgonzola Telino",16613
27,"Schoggi Schokolade",15250
30,"Nord-Ost Matjeshering",14882
65,"Louisiana Fiery Hot Pepper Sauce",14633
36,"Inlagd Sill",14503
35,"Steeleye Stout",14386
1,Chai,14208
11,"Queso Cabrales",13942
8,"Northwoods Cranberry Sauce",13760
39,"Chartreuse verte",13026
12,"Queso Manchego La Pastora",12856
70,"Outback Lager",11472
44,"Gula Malacca",10534
68,"Scottish Longbreads",9637
21,"Sir Rodney's Scones",9636
77,"Original Frankfurter grne Soe",9593
49,Maxilaku,9500
4,"Chef Anton's Cajun Seasoning",9474
41,"Jack's New England Clam Chowder",9432
42,"Singaporean Hokkien Fried Mee",9307
32,"Mascarpone Fabioli",9192
75,"Rhnbru Klosterbier",8852
9,"Mishi Kobe Niku",8835
14,Tofu,8636
57,"Ravioli Angelo",8008
6,"Grandma's Boysenberry Spread",7345
22,"Gustaf's Knckebrd",7236
34,"Sasquatch Ale",6649
58,"Escargots de Bourgogne",6632
46,Spegesild,6216
19,"Teatime Chocolate Biscuits",5989
5,"Chef Anton's Gumbo Mix",5742
24,"Guaran Fantstica",5314
13,Konbu,5253
45,"Rogede sild",4990
54,Tourtire,4960
23,Tunnbrd,4798
47,"Zaanse koeken",4588
73,"Rd Kaviar",4200
25,"NuNuCa Nu-Nougat-Creme",4023
66,"Louisiana Hot Spiced Okra",3583
50,"Valkoinen suklaa",3475
52,"Filo Mix",3417
3,"Aniseed Syrup",3080
37,"Gravad lax",3055
74,"Longlife Tofu",2566
67,"Laughing Lumberjack Lager",2561
33,Geitost,1917
15,"Genen Shouyu",1852
48,Chocolade,1539
