OrderID,CompanyName,OrderDate
10643,"Alfreds Futterkiste",1997-08-25
10692,"Alfreds Futterkiste",1997-10-03
10702,"Alfreds Futterkiste",1997-10-13
10835,"Alfreds Futterkiste",1998-01-15
10952,"Alfreds Futterkiste",1998-03-16
11011,"Alfreds Futterkiste",1998-04-09
10308,"Ana Trujillo Emparedados y helados",1996-09-18
10625,"Ana Trujillo Emparedados y helados",1997-08-08
10759,"Ana Trujillo Emparedados y helados",1997-11-28
10926,"Ana Trujillo Emparedados y helados",1998-03-04
10365,"Antonio Moreno Taquera",1996-11-27
10507,"Antonio Moreno Taquera",1997-04-15
10535,"Antonio Moreno Taquera",1997-05-13
10573,"Antonio Moreno Taquera",1997-06-19
10677,"Antonio Moreno Taquera",1997-09-22
10682,"Antonio Moreno Taquera",1997-09-25
10856,"Antonio Moreno Taquera",1998-01-28
10355,"Around the Horn",1996-11-15
10383,"Around the Horn",1996-12-16
10453,"Around the Horn",1997-02-21
10558,"Around the Horn",1997-06-04
10707,"Around the Horn",1997-10-16
10741,"Around the Horn",1997-11-14
10743,"Around the Horn",1997-11-17
10768,"Around the Horn",1997-12-08
10793,"Around the Horn",1997-12-24
10864,"Around the Horn",1998-02-02
10920,"Around the Horn",1998-03-03
10953,"Around the Horn",1998-03-16
11016,"Around the Horn",1998-04-10
10278,"Berglunds snabbkp",1996-08-12
10280,"Berglunds snabbkp",1996-08-14
10384,"Berglunds snabbkp",1996-12-16
10444,"Berglunds snabbkp",1997-02-12
10445,"Berglunds snabbkp",1997-02-13
10524,"Berglunds snabbkp",1997-05-01
10572,"Berglunds snabbkp",1997-06-18
10626,"Berglunds snabbkp",1997-08-11
10654,"Berglunds snabbkp",1997-09-02
10672,"Berglunds snabbkp",1997-09-17
10689,"Berglunds snabbkp",1997-10-01
10733,"Berglunds snabbkp",1997-11-07
10778,"Berglunds snabbkp",1997-12-16
10837,"Berglunds snabbkp",1998-01-16
10857,"Berglunds snabbkp",1998-01-28
10866,"Berglunds snabbkp",1998-02-03
10875,"Berglunds snabbkp",1998-02-06
10924,"Berglunds snabbkp",1998-03-04
10501,"Blauer See Delikatessen",1997-04-09
10509,"Blauer See Delikatessen",1997-04-17
10582,"Blauer See Delikatessen",1997-06-27
10614,"Blauer See Delikatessen",1997-07-29
10853,"Blauer See Delikatessen",1998-01-27
10956,"Blauer See Delikatessen",1998-03-17
11058,"Blauer See Delikatessen",1998-04-29
10265,"Blondesddsl pre et fils",1996-07-25
10297,"Blondesddsl pre et fils",1996-09-04
10360,"Blondesddsl pre et fils",1996-11-22
10436,"Blondesddsl pre et fils",1997-02-05
10449,"Blondesddsl pre et fils",1997-02-18
10559,"Blondesddsl pre et fils",1997-06-05
10566,"Blondesddsl pre et fils",1997-06-12
10584,"Blondesddsl pre et fils",1997-06-30
10628,"Blondesddsl pre et fils",1997-08-12
10679,"Blondesddsl pre et fils",1997-09-23
10826,"Blondesddsl pre et fils",1998-01-12
10326,"Blido Comidas preparadas",1996-10-10
10801,"Blido Comidas preparadas",1997-12-29
10970,"Blido Comidas preparadas",1998-03-24
10331,"Bon app'",1996-10-16
10340,"Bon app'",1996-10-29
10362,"Bon app'",1996-11-25
10470,"Bon app'",1997-03-11
10511,"Bon app'",1997-04-18
10525,"Bon app'",1997-05-02
10663,"Bon app'",1997-09-10
10715,"Bon app'",1997-10-23
10730,"Bon app'",1997-11-05
10732,"Bon app'",1997-11-06
10755,"Bon app'",1997-11-26
10827,"Bon app'",1998-01-12
10871,"Bon app'",1998-02-05
10876,"Bon app'",1998-02-09
10932,"Bon app'",1998-03-06
10940,"Bon app'",1998-03-11
11076,"Bon app'",1998-05-06
10389,"Bottom-Dollar Markets",1996-12-20
10410,"Bottom-Dollar Markets",1997-01-10
10411,"Bottom-Dollar Markets",1997-01-10
10431,"Bottom-Dollar Markets",1997-01-30
10492,"Bottom-Dollar Markets",1997-04-01
10742,"Bottom-Dollar Markets",1997-11-14
10918,"Bottom-Dollar Markets",1998-03-02
10944,"Bottom-Dollar Markets",1998-03-12
10949,"Bottom-Dollar Markets",1998-03-13
10975,"Bottom-Dollar Markets",1998-03-25
10982,"Bottom-Dollar Markets",1998-03-27
11027,"Bottom-Dollar Markets",1998-04-16
11045,"Bottom-Dollar Markets",1998-04-23
11048,"Bottom-Dollar Markets",1998-04-24
10289,"B's Beverages",1996-08-26
10471,"B's Beverages",1997-03-11
10484,"B's Beverages",1997-03-24
10538,"B's Beverages",1997-05-15
10539,"B's Beverages",1997-05-16
10578,"B's Beverages",1997-06-24
10599,"B's Beverages",1997-07-15
10943,"B's Beverages",1998-03-11
10947,"B's Beverages",1998-03-13
11023,"B's Beverages",1998-04-14
10521,"Cactus Comidas para llevar",1997-04-29
10782,"Cactus Comidas para llevar",1997-12-17
10819,"Cactus Comidas para llevar",1998-01-07
10881,"Cactus Comidas para llevar",1998-02-11
10937,"Cactus Comidas para llevar",1998-03-10
11054,"Cactus Comidas para llevar",1998-04-28
10259,"Centro comercial Moctezuma",1996-07-18
10254,"Chop-suey Chinese",1996-07-11
10370,"Chop-suey Chinese",1996-12-03
10519,"Chop-suey Chinese",1997-04-28
10731,"Chop-suey Chinese",1997-11-06
10746,"Chop-suey Chinese",1997-11-19
10966,"Chop-suey Chinese",1998-03-20
11029,"Chop-suey Chinese",1998-04-16
11041,"Chop-suey Chinese",1998-04-22
10290,"Comrcio Mineiro",1996-08-27
10466,"Comrcio Mineiro",1997-03-06
10494,"Comrcio Mineiro",1997-04-02
